what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1227352663765
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227352665265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352667218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352668765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352669625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352691984
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227352692921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352695546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352697453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352699484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352707203
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1227352708453
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1227352709015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227352710546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1227352711265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352731234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227352845000
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1227352858093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227352859000
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1227352876171
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textEnd,1227352881062
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textStart,1227352882296
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1227352892828
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227352962125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227352962312
