what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282320812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282369781
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1227282371921
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1227282374781
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1227282376515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282377406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282393890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282394000
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282398750
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1227282398906
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1227282398906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282403734
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1227282409296
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227282411765
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1227282413296
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227282418390
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227282449718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227282458765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282463500
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.properties,1227282463531
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1227282465281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282465562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282465812
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1227282467750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227282485000
