what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227350878015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227350879421
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227350887453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227350888125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227350889734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227350892750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227350917343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227350918656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227350924750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227350926296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227350981437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227351016468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227351028015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227351034578
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227351036296
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227351038015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227351040593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227351058500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227351063609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227351064843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227351067687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227351072968
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227351077031
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227351080640
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227351083421
