what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1227354895875
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1227354896437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227354896734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227354897734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227354911203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227354932859
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1227354935687
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227354936812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227354937656
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1227354937921
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textEnd,1227354938531
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1227354939031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227354939312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227354940234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227354942937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227355042031
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1227355050953
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1227355053390
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1227355054562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227355054843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227355055750
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1227355066609
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1227355067093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227355067359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227355068328
