what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1227284309171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284314453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284316406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284319531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284333390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284335921
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227284337062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284337468
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.rename,1227284337500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284337812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284348359
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1227284351859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284352140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284352875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284364265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284368687
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1227284368734
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227284368734
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1227284371390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284371671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284381296
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1227284383187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284383812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227284385593
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1227284387828
